date,open,high,low,close
2015-12-31,426.09,433.89,419.99,430.57
2015-12-30,431.7,434.97,420.75,427.05
2015-12-29,420.81,433.17,418.55,430.04
2015-12-28,421.57,429.86,417.01,420.7
2015-12-27,417.11,425.42,410.5,423.29
2015-12-26,455.51,457.45,407.25,417.42
2015-12-25,455.42,458.33,448.0,455.5
2015-12-24,442.5,459.54,442.5,455.71
2015-12-23,435.18,445.52,434.43,443.34
2015-12-22,438.07,443.58,433.06,436.15
2015-12-21,442.54,450.0,425.52,437.56
2015-12-20,461.8,462.0,433.83,441.48
2015-12-19,462.99,465.9,452.03,460.96
2015-12-18,455.87,466.64,453.5,463.0
2015-12-17,455.63,458.84,448.75,456.01
2015-12-16,464.5,465.0,436.89,455.1
2015-12-15,443.36,464.99,442.94,463.61
2015-12-14,432.89,448.12,428.42,442.37
2015-12-13,436.08,442.97,422.03,435.8
2015-12-12,452.99,467.8,403.0,435.87
2015-12-11,415.36,454.36,415.13,451.68
2015-12-10,416.98,419.79,408.91,416.28
2015-12-09,418.8,424.95,400.0,416.08
2015-12-08,394.96,409.0,388.33,409.0
2015-12-07,387.18,399.91,381.01,395.1
2015-12-06,388.0,399.85,383.0,394.6
2015-12-05,363.62,389.89,363.0,384.67
2015-12-04,361.48,364.3,355.92,362.3
2015-12-03,359.11,370.53,356.21,361.32
2015-12-02,363.06,363.06,348.64,359.97
2015-12-01,376.7,379.0,354.56,362.95
2015-11-30,371.48,383.0,367.11,377.98
2015-11-29,356.78,373.15,354.45,371.04
2015-11-28,357.14,359.44,350.41,356.39
2015-11-27,353.9,364.8,347.84,359.87
2015-11-26,328.9,369.7,328.53,356.39
2015-11-25,319.7,330.84,316.0,328.3
2015-11-24,323.48,323.5,317.0,318.42
2015-11-23,324.24,326.09,320.39,323.01
2015-11-22,326.5,326.6,320.13,323.11
2015-11-21,322.05,328.94,318.52,324.99
2015-11-20,326.51,327.73,310.0,321.5
2015-11-19,334.53,336.48,324.94,324.95
